,IdPerm,NombrePerm,DescripcionPerm,StatusPerm
0,e6d9cac2cec44a86873bb3d0e50b56bf,Delete,49jNZZqYxmNsklbMmAB5,Activo
1,5a6019eab746469882ecadd2c406a647,Update,kuuBbGtnbD0sFKWsih9f,Desactivo
2,497d355545fc453eaa76d439c0d7f58b,Update,mtOoq3QKcMKlLGHYDaAJ,Activo
3,dc6dac36e53843739dba43955829d402,Read,7MjDCXPp7wOxFeyTkGnt,Activo
4,c3ef66dae2f84d79930bc8d876ad78a0,Create,8M9Ye9rrdH4fjXZ6tw3t,Activo
5,0234d8ffd84a4159b48acfeb794f2117,Update,6PDuOAUvbTJUP7axWghB,Activo
6,04d2b4a78e494a949b7fe227eb7bf8c2,Create,Mrs0qen8lM3JAtgqn7e5,Activo
7,30a98a736a9a4edaa5dc60d8f8ad9a7c,Update,sGbrr2yWXU04zOa7R1oX,Desactivo
8,925565d060b04b4ea82b5c5ea696c445,Delete,46qNhaEqxhhxbV4OQPrv,Activo
9,cf0e02af680a4a17a99c1f6b2c1a6194,Delete,k7UqIa9pTm5PZN1aZCEr,Activo
10,ff8373ae977c4684bbe46b55ded987d1,Delete,ZatZ15cA9iZrflsMlK94,Activo
11,499edf0b713b42bab843d504ea9b8e63,Delete,v4PXtDUgi2gAntl4enT6,Desactivo
12,70aef83a3c5a44a9a9e245a0cb4191bf,Delete,FxolhN6h7hdnMsKz2ZQr,Activo
13,ab5638d324e14c889eb9342b745b6d18,Delete,AVCf5rFVGV2FDVPv8ucl,Activo
14,73c74b773b26473e937025b2d18a2ddf,Delete,UsFGZ3HrYj6HNYIfXJS2,Desactivo
15,c28bd54888d34aaf99e45d93f24b8f6b,Read,y1eN24frt19pV45pjERa,Desactivo
16,4abcbbafbeae435da2751966fa6123d1,Update,wnMgqunWifqjTUOtRRpm,Desactivo
17,986e893948fd41cda6babad4e06d0053,Read,zArAxW7fjL1fddewXOgt,Desactivo
18,6836761f070a4fa6af38018dcc1d2e39,Read,7UcmMo0vykdBW6RfBvSK,Activo
19,9b517a67fe7d4e9c83de1f69927b4129,Update,uJRvFvS1MEHHj5A6RG9O,Activo
20,2e5cd2780eca4bd49aec8177f2dfa15f,Create,GsOtVp3p3DiWzGm0BX94,Activo
21,9c9afb6e3c584acfbf422473bee2dceb,Delete,MSDqWCzlTCvtyIE9yYDg,Activo
22,e01e38e266c94e2484d94ff751af129f,Read,8Hqzp8QQORosYuIyqo8A,Activo
23,54015845cc2c4dcd85c591a194602e84,Delete,ZR2J08U3d68DrL6i9Wqx,Activo
24,490cf7622ecd4392a5bd3d174c41062a,Read,Aatzg8nl51PNoDj04Leq,Activo
25,8a45b742ce0e4a8b9767c7b6985065de,Read,8bBzUuR1rzSs1k4EXnhE,Desactivo
26,26b2ec8ea5d748af90508d9999a6dfb2,Create,Air3Wx4rSa2poePkSRYe,Desactivo
27,c586be05ad364a00a659fb1a7758594f,Delete,OVW7aO1FRv7yJp4ab9PZ,Activo
28,9f77642562ba450a9be2ccdfca2e9a53,Delete,OEg9UAWHD4PmojsZxjVq,Activo
29,d8f02655887e463ea591b78026f9a5b5,Create,fB49e7qss5OlXmdeW4cC,Activo
30,13b2d2c13aeb40f0bbb2240531fda86c,Update,1VHdq5Ik7UfOrl0bkx5A,Activo
31,2ab065a97da8400aa00ec851c6a2903d,Create,67gYde4paswRid3oSSgy,Activo
32,ea8537c6ac8b428dbb386f059958bb8f,Read,ub4syJZ6PBt7wGxtDfCx,Activo
