,IdPu,NotaPu,IdAs
0,01d4e4fc33a14116b1f36f849ece700f,746,5df6bc9c5d1c4e66bf68e9f6fc616cdf
1,19feeb1798d041a3bba7c558f5fc9bc8,954,65593ce7831346bc8c8036cc59075c56
2,5c74f522e0ae4932a8402383fcaf01cf,888,c6939841596c41e8aec6a897aa603e2b
3,6f6b175d44c04056a06a2ed4d47260e1,952,69b3ab7b58b147058b7078e0535bb25a
4,079e04f93cfd47a29c594ee00687e6b7,869,b6b0a0cb35af45b7be7af762a5331612
5,004ad45145f04c4e96085ed3ec5e4c56,950,f619af145f604e56864c77d299e96312
6,8c17bc9d4a854ac2879fb1da729f0709,557,942afbaae00c4e62b5023142d2b59401
7,6f795f7b88ee4238adf2a224c2353d64,479,e071817aa95748b6b2d1099741d346a7
8,fbcea272fb18412a83390df13db2a693,467,0c4947959bcc49afadcba65d5d5dec67
9,ca21c5745970446fa433a4b87eb427cd,652,2d2165a75dcf47ad8e27fee70ac72ed8
10,0f801987b00a48f692b0777c8c8cb260,968,64a9db48e0284f4bb03072e44f1bb505
11,3849df398d2d47b9aaf79f982e43a0be,879,fe0ac8a243ed4f2285f179b89318c77e
12,c4ae4af74a2244f6b5459765c1b19440,857,66af5a6a5ba846dab1a4dea24bc653bf
13,ed63a6e835fa44c39a2668cda1820e9e,771,8d0550d1e57a42a2ab8f72ef63b6bac7
14,c78c192b98c04e78b1dc3269f9fb55db,959,415a4832a2fb4058989b02f7e410360c
15,cc684432ddbd4cfe998c64db881fd5bc,671,0c6c0c45eded4341aa3c5dcd56cee035
16,f750df069c634451954e0441fe57cf3f,818,197e5107b31e484b92774e1f78a3d41c
17,6a47e067b5a0412aba987b0bc2501eb0,561,f183f98d0cfb4563a65d852b3526ab87
18,d4e9e1bed9a745a189b69e0198fc615d,424,774cda1bf85447d5bcd4dea0e74f21eb
19,7bee88be3fd7487b99767d5b17e197a3,714,8b64c483b7fc496293a817073309b882
20,f600a5b201834f34b8a0c6af3fc5b15a,954,245d65586af542e483367ae1e5f5a225
21,1c179d5be4264660a9785b4e79601360,605,6754bebe3c384b2eb274cb5aed58f64e
22,c0b62925bece46efa7d8fa6041ded4fb,607,525475eb9f8f420ab5abaf7f9ae75b60
23,961c08ecfd7e42949aa216f984948c7b,473,a71c8bc2159a4ed8b8434a7485ac250f
24,6967667e77404d5cbdf69fd5cb3a288c,692,5380b0fcaf964b079cce208a9103262e
25,65a3f2bfce934904a78eedc3d5e9d9cf,612,bf96c98760d24e71b754a1c74b6cac88
26,a9b2784c37014003840ab2f3cd174392,448,3eddcf66f6f8409387253ca681673aa7
27,484a17cd38814febb2aa5bc038fe56ad,997,a2b422fd57094e46a6111b4a3684c6fd
28,39ea95951ebe4914831cdf40212277b0,800,5687a7ad698848acab09b2068208dffa
29,8fe8486fc4e9412b9c31512fe29d5001,926,4104f96a08de4648b79153d94a9ad33d
30,0b4f48b1f72348078eafb65360b9a60b,643,d0f88956ca5047db835969d3b5f371a8
31,af731b39972f43358d7b6242db5c9e60,913,b018b954b51c407abb6388a165c97e90
32,fa1c43c2fefa49079b00074b93f2273a,700,3bf56bd2307749b2829ee42c00fcd257
33,c60fdff51707489c8defba5c0a6f9089,426,c713728ce40847dd9b2e54941c038580
34,c3b034b50d2b4be78fb5f459bc761a4d,661,9e050b8536b4411f9dca20b1230fe5ff
35,b9ed9576129c4c978d22d2084808cf58,461,8529653eb5704a7e931add0c97624248
36,0991dc1a703a426c8575876ee6df790c,996,322b19dcbfde431280a5f0ca1b907924
37,cd878c0eb9c740de94ae77182ed07554,516,e6b8cc5f4adc4d7daa3f5d8386da07f5
38,c43d33d9cdbf42d6a76902a7c11717fa,639,9f32070e17124aff81bcf9970d74e69f
39,754898240c964e78a0edbe62c09dffc4,562,044a18d3a17442e08a552428c102b4de
40,c104267586ff4ac0bc70210f06763d80,744,cf6e2b20aea443c8b919023dbf72a7fa
