,IdPerm,NombrePerm,DescripcionPerm,StatusPerm
0,55dac47106cc4b51b4f2294214659819,Read,XP3vEPUdxzlRx9aAEYwR,Activo
1,b6ca5bd9f919486f80dadce9b701787f,Update,kd0NbH7zTwF37FEMfP5f,Activo
2,5dabb023ac6e41dca107a758f55c9a0d,Update,8npzJcPYaYV7dG3mBHJa,Desactivo
3,b0a9069b95444763b62e52e44fb6b833,Read,nQ1lWaGicPta0hmPizt2,Activo
4,7bafe292a0814073bc29a94583c0d323,Read,z4pr1eFaKYY021B2t46a,Activo
5,4ddc66b967254fb586912c17b70594e0,Update,e7D9Z3TH6ZvEhBk8FZJf,Desactivo
6,4835815f1b564edb8cb2f871baf7fa4b,Read,ymRvI9UHaItdCoF4utgy,Activo
7,12a1f4287b054be0b70d3f25bcc0d375,Delete,ZYKFyXwOT7XScTAnuOJN,Activo
8,13302ff2a0b64564804fdb5d6d616221,Create,70iDY8JGp7XoRp3ik06O,Activo
9,8db70a68644c436da1c57c70d4cb7def,Delete,zevSiSiKPFjLCY7mPu2l,Desactivo
10,bc073b98ecfb4d669431dfb0735ab50b,Read,sl9k1Nx06Hxklfh4wZ5w,Desactivo
11,29cddd6cf2a44f00b9b419651d87b346,Update,d9w0JZ96O95coanC0zm8,Activo
12,b8005450341d41a1b5975d8cce66bdd7,Update,LZOkTT1UMvZim7vaLJop,Activo
13,1b57647c87a649038d7b0094c6e73c9d,Create,teIsh7gbBVBNOxuRnDjq,Activo
14,dcce0b1796724b739b04499cf50f5f5a,Delete,VSoISdF7QUVas7wGAv4J,Desactivo
15,cbced9099706468aa32c3087ebb46e63,Delete,PMiK6xWvSMBbHqppgT0B,Activo
16,14762c54635c48ab915d26a20defe577,Update,NXQOKjJpgqg8MbYzUncn,Activo
17,d4c0bdc6497a4a9b91257fc60cec015f,Create,OH1W0oKKeLJGpMfHe7FF,Activo
18,66e97b0c86494b1883ca35ccde398ad6,Update,5ChUmnqSbalaf48sJJfL,Desactivo
19,95ec7e87bb0243a7979a4499c2c8bba1,Read,Lic8zwglHxuwXZjWFbrL,Activo
20,ddc10faa51244af79a300d2b8724c4d0,Delete,0bFrNSPhZsn09q5JcZxu,Activo
21,28df1fce3ca746c39b7e2aa65bd26ce7,Create,6RkVPATvUkLUs4YQhP05,Desactivo
22,b5503501ed3a454a810028bd2e531d88,Read,iiCOUfJAJ2QttryBx1dQ,Activo
23,b6cea0763dd1449795c73384d7634f13,Read,lgxeSX0UUgIeZQW2RXpE,Desactivo
24,2ca5d696373141c0bfc5bd97851e3a5e,Read,5lWyl0gxcUwaKSjy8Qbo,Desactivo
25,bad3c77339f3473f839422211c141fbf,Update,tHeLDDFhYcwoBvZvSSr5,Activo
26,df4f78b9b374468fb7279246fe6be0a4,Update,0MXDXgUj7uv9jeXeDg8d,Activo
27,fd9b6fd3d846405283fbaf5074fb2dff,Read,qqOt2tfHMNzYNerWlyqy,Activo
28,d7db145857a64ff482eee7c81297ea03,Create,EarzcdbM9HmsIKEfuBHF,Activo
29,1d05ed5269294f3185dc68b02ff1d32c,Create,z6vq0xpQcg211qJqMBAV,Desactivo
30,ea601fa6182d4167a7b6093dd9537ce8,Update,BIGHIt7IqCn8LdURRTp6,Activo
